Nome_Campo,Etichetta,Tipo,Descrizione,Valori_Possibili,Esempio,Note
Foglio,Foglio di origine,stringa,Indica il foglio Google Sheets di provenienza della riga. 'Segnalazioni' = pratica ancora aperta o in lavorazione; 'Risolte' = pratica chiusa/risolta.,Segnalazioni | Risolte,Segnalazioni,Colonna virtuale aggiunta in fase di esportazione non presente nel CSV sorgente.
ID_Segnalazione,Identificatore univoco,stringa,Codice univoco assegnato automaticamente ad ogni segnalazione al momento dell'invio. Formato: SGN- seguito dal timestamp Unix in millisecondi.,,SGN-1748291234567,Utile per fare join tra dataset diversi o per tracciare l'evoluzione nel tempo di una singola segnalazione.
Timestamp_UTC,Data e ora invio (UTC),stringa (ISO 8601),Data e ora esatta dell'invio della segnalazione espressa in formato ISO 8601 con fuso orario UTC.,,2025-05-26T10:30:00Z,Per l'ora locale italiana aggiungere +1h (ora solare) o +2h (ora legale).
Data,Data segnalazione,stringa (GG/MM/AAAA),Data di invio della segnalazione in formato italiano giorno/mese/anno.,,26/05/2025,Usato per i grafici 'Andamento nel tempo'. Preferire Timestamp_UTC per elaborazioni temporali precise.
Ora,Ora segnalazione,stringa (HH:MM),Ora locale di invio della segnalazione in formato 24h.,,10:30,
Categoria,Categoria problema,stringa (enumerata),Tipologia del problema segnalato scelta dal cittadino tra le categorie predefinite.,"Buche e dissesti stradali | Illuminazione pubblica guasta | Rifiuti abbandonati | Alberi e verde pubblico | Perdite idriche | Deiezioni non raccolte | Segnaletica danneggiata | Immobile pericolante | Barriere architettoniche | Inquinamento acustico | Veicoli abbandonati | Degrado e sicurezza | Altro",Buche e dissesti stradali,
Categoria_Emoji,Emoji categoria,stringa (carattere unicode),Simbolo emoji associato alla categoria usato nelle notifiche e nei messaggi condivisi.,,🕳️,Puo' non essere visualizzato correttamente in tutti i programmi di foglio di calcolo.
Urgenza,Livello di urgenza,stringa (enumerata),Livello di urgenza indicato dal segnalante per descrivere la gravita' o il pericolo del problema.,Alta | Normale | Bassa,Alta,Il valore 'Alta' indica situazioni di potenziale pericolo immediato per persone o cose.
Descrizione,Descrizione libera,stringa (testo libero),Testo descrittivo inserito dal cittadino per fornire dettagli aggiuntivi sul problema.,,Buca profonda circa 30cm all'incrocio con Via Roma. Pericolosa per bici e motorini.,Campo a testo libero non normalizzato. Puo' contenere informazioni sensibili.
Nome_Segnalante,Nome del segnalante,stringa,Nome (e cognome se fornito) del cittadino che ha inviato la segnalazione.,,Mario Rossi,DATO PERSONALE - trattato ai sensi del GDPR. Nei CSV pubblici potrebbe essere anonimizzato o assente.
Email_Segnalante,Email del segnalante,stringa (indirizzo email),Indirizzo email fornito dal segnalante per eventuali comunicazioni di aggiornamento.,,mario@esempio.it,DATO PERSONALE - trattato ai sensi del GDPR. Nei CSV pubblici questo campo e' generalmente omesso o mascherato.
Lat,Latitudine,numero decimale (WGS84),Coordinata geografica di latitudine del luogo segnalato nel sistema di riferimento WGS84 (lo stesso di Google Maps e GPS).,,38.115556,Separatore decimale: punto. Precisione tipica: 5-6 decimali (~1-10 metri). Obbligatoria per la visualizzazione in mappa.
Long,Longitudine,numero decimale (WGS84),Coordinata geografica di longitudine del luogo segnalato nel sistema di riferimento WGS84.,,13.361389,Separatore decimale: punto. Attenzione: il campo si chiama 'Long' (non 'Longitudine').
Indirizzo_Completo,Indirizzo completo,stringa,Indirizzo postale completo del luogo segnalato ottenuto tramite reverse geocoding (OpenStreetMap Nominatim) dalle coordinate GPS.,"Via Maqueda 100, 90134 Palermo PA",,Generato automaticamente. Puo' differire leggermente dall'indirizzo effettivo in zone con copertura cartografica limitata.
Via,Nome via / strada,stringa,Componente del nome della via o strada estratta dall'indirizzo completo.,,Via Maqueda,
Numero_Civico,Numero civico,stringa,Numero civico estratto dall'indirizzo completo. Puo' essere vuoto se non disponibile.,,100,
CAP,Codice avviamento postale,stringa (5 cifre),Codice postale (CAP) della localita' segnalata.,,90134,Estratto dal reverse geocoding. Puo' essere vuoto se Nominatim non lo restituisce.
Comune,Comune,stringa,Nome del comune in cui ricade il luogo segnalato.,,Palermo,
Provincia,Sigla provincia,stringa (2 caratteri),Sigla della provincia italiana in cui ricade il comune.,,PA,
Regione,Regione,stringa,Nome della regione italiana in cui ricade il comune.,,Sicilia,
Fonte_Posizione,Fonte della posizione,stringa (enumerata),Indica come e' stata rilevata la posizione geografica della segnalazione.,GPS | EXIF | Manuale,GPS,'EXIF' = coordinate estratte dai metadati della foto; 'GPS' = posizione del dispositivo al momento dell'invio; 'Manuale' = posizione selezionata dall'utente sulla mappa.
Accuratezza_GPS_m,Accuratezza GPS (metri),numero intero,Raggio di accuratezza in metri della posizione GPS rilevata dal dispositivo. Valori bassi indicano maggiore precisione.,,5,Disponibile solo quando Fonte_Posizione = 'GPS'. Vuoto per posizioni EXIF o Manuali. Campo non incluso nell'export pubblico.
Destinatari,Enti destinatari,stringa (lista separata da punto e virgola),Elenco degli enti o uffici a cui e' stata inviata la segnalazione separati da punto e virgola.,,Comune;Polizia Locale,Gli enti disponibili dipendono dalla configurazione del comune che ha attivato SegnalaOra.
Canale_Email,Inviato via email,stringa (booleano testuale),Indica se la segnalazione e' stata inviata tramite il canale email.,Si' | No,Si',
Canale_WhatsApp,Inviato via WhatsApp,stringa (booleano testuale),Indica se la segnalazione e' stata condivisa tramite WhatsApp.,Si' | No,Si',
Canale_Twitter,Inviato via X/Twitter,stringa (booleano testuale),Indica se la segnalazione e' stata pubblicata su X (ex Twitter).,Si' | No,No,
Canale_Facebook,Inviato via Facebook,stringa (booleano testuale),Indica se la segnalazione e' stata condivisa su Facebook.,Si' | No,No,
Ha_Immagine,Presenza foto allegata,stringa (booleano testuale),Indica se alla segnalazione e' stata allegata una fotografia.,Si' | No,Si',Campo non incluso nell'export pubblico per motivi di privacy.
Dimensioni_Immagine,Dimensioni foto (pixel),stringa,Larghezza e altezza in pixel dell'immagine allegata separate da 'x'. Le immagini vengono ridimensionate client-side a max 1280px.,,1280x960,Campo non incluso nell'export pubblico.
Testo_Messaggio,Testo notifica inviata,stringa (testo libero),Testo preformattato del messaggio inviato agli enti contenente un riepilogo strutturato della segnalazione con emoji.,,Segnalazione Civica — URGENTE — Buche e dissesti stradali | Via Maqueda 100...,Generato automaticamente dall'applicazione. Usato come corpo del messaggio email/WhatsApp.
URL_Segnalazione,URL della segnalazione,stringa (URL),Indirizzo web della pagina pubblica SegnalaOra in cui la segnalazione e' visibile sulla mappa.,,https://tuosito.github.io/Segnalazioni/,Campo non incluso nell'export pubblico.
Stato,Stato della pratica,stringa (enumerata),Stato corrente della segnalazione aggiornato dall'ufficio competente.,Nuova | In lavorazione | Risolta | Chiusa,Nuova,Le segnalazioni con Stato 'Risolta' o 'Chiusa' vengono tipicamente spostate nel foglio 'Risolte'.
Note_Ufficio,Note dell'ufficio,stringa (testo libero),Annotazioni inserite dall'operatore dell'ente per descrivere l'intervento effettuato o fornire aggiornamenti al cittadino.,,Intervento programmato per la settimana del 02/06/2025.,Compilato dall'operatore PA. Puo' essere vuoto se la segnalazione non e' ancora stata presa in carico.
Operatore,Operatore assegnato,stringa,Nome o identificativo dell'operatore o ufficio che ha preso in carico la segnalazione.,,Ufficio Manutenzione Strade,Compilato dall'operatore PA. Puo' essere vuoto.
Data_Presa_Carico,Data presa in carico,stringa (GG/MM/AAAA),Data in cui l'ente ha formalmente preso in carico la segnalazione.,,28/05/2025,Compilato dall'operatore PA. Puo' essere vuoto.
Data_Risoluzione,Data risoluzione,stringa (GG/MM/AAAA),Data in cui il problema e' stato risolto e la segnalazione e' stata chiusa.,,05/06/2025,Compilato dall'operatore PA. Vuoto per segnalazioni ancora aperte.
Token_Risoluzione,Token di verifica risoluzione,stringa (hash),Codice univoco usato internamente per verificare l'autenticita' della chiusura della segnalazione tramite il link inviato al segnalante.,,a3f9c2e1b8,Dato tecnico interno. Nei CSV pubblici questo campo e' generalmente omesso.
